pandas-dev/pandas,Wed Dec 18 2019 00:00:00 GMT-0600 (Central Standard Time),21900
pandas-dev/pandas,Fri May 08 2020 00:00:00 GMT-0500 (Central Daylight Time),24090
pandas-dev/pandas,Tue Oct 13 2020 00:00:00 GMT-0500 (Central Daylight Time),26280
pandas-dev/pandas,Tue Mar 23 2021 00:00:00 GMT-0500 (Central Daylight Time),28500
pandas-dev/pandas,Wed Sep 08 2021 00:00:00 GMT-0500 (Central Daylight Time),30690
pandas-dev/pandas,Mon Feb 28 2022 00:00:00 GMT-0600 (Central Standard Time),32880
pandas-dev/pandas,Fri Mar 04 2022 00:00:00 GMT-0600 (Central Standard Time),32934
scikit-hep/uproot4,Fri May 08 2020 00:00:00 GMT-0500 (Central Daylight Time),1
scikit-hep/uproot4,Fri May 22 2020 00:00:00 GMT-0500 (Central Daylight Time),9
scikit-hep/uproot4,Sat Aug 01 2020 00:00:00 GMT-0500 (Central Daylight Time),17
scikit-hep/uproot4,Sun Aug 30 2020 00:00:00 GMT-0500 (Central Daylight Time),25
scikit-hep/uproot4,Tue Sep 29 2020 00:00:00 GMT-0500 (Central Daylight Time),33
scikit-hep/uproot4,Mon Nov 02 2020 00:00:00 GMT-0600 (Central Standard Time),41
scikit-hep/uproot4,Thu Dec 03 2020 00:00:00 GMT-0600 (Central Standard Time),49
scikit-hep/uproot4,Sun Jan 31 2021 00:00:00 GMT-0600 (Central Standard Time),57
scikit-hep/uproot4,Mon Feb 22 2021 00:00:00 GMT-0600 (Central Standard Time),65
scikit-hep/uproot4,Wed Mar 17 2021 00:00:00 GMT-0500 (Central Daylight Time),73
scikit-hep/uproot4,Mon Apr 19 2021 00:00:00 GMT-0500 (Central Daylight Time),81
scikit-hep/uproot4,Wed May 19 2021 00:00:00 GMT-0500 (Central Daylight Time),89
scikit-hep/uproot4,Thu Jun 24 2021 00:00:00 GMT-0500 (Central Daylight Time),97
scikit-hep/uproot4,Mon Sep 06 2021 00:00:00 GMT-0500 (Central Daylight Time),105
scikit-hep/uproot4,Wed Nov 03 2021 00:00:00 GMT-0500 (Central Daylight Time),113
scikit-hep/uproot4,Mon Dec 06 2021 00:00:00 GMT-0600 (Central Standard Time),121
scikit-hep/uproot4,Fri Feb 04 2022 00:00:00 GMT-0600 (Central Standard Time),129
scikit-hep/uproot4,Fri Mar 04 2022 00:00:00 GMT-0600 (Central Standard Time),132
scikit-hep/uproot3,Tue Sep 12 2017 00:00:00 GMT-0500 (Central Daylight Time),1
scikit-hep/uproot3,Tue Oct 10 2017 00:00:00 GMT-0500 (Central Daylight Time),22
scikit-hep/uproot3,Fri Jan 26 2018 00:00:00 GMT-0600 (Central Standard Time),43
scikit-hep/uproot3,Mon Feb 26 2018 00:00:00 GMT-0600 (Central Standard Time),64
scikit-hep/uproot3,Tue Apr 03 2018 00:00:00 GMT-0500 (Central Daylight Time),85
scikit-hep/uproot3,Mon Jul 09 2018 00:00:00 GMT-0500 (Central Daylight Time),106
scikit-hep/uproot3,Mon Oct 29 2018 00:00:00 GMT-0500 (Central Daylight Time),127
scikit-hep/uproot3,Mon Feb 04 2019 00:00:00 GMT-0600 (Central Standard Time),148
scikit-hep/uproot3,Fri Apr 05 2019 00:00:00 GMT-0500 (Central Daylight Time),169
scikit-hep/uproot3,Tue Jun 18 2019 00:00:00 GMT-0500 (Central Daylight Time),190
scikit-hep/uproot3,Thu Aug 29 2019 00:00:00 GMT-0500 (Central Daylight Time),211
scikit-hep/uproot3,Mon Dec 30 2019 00:00:00 GMT-0600 (Central Standard Time),232
scikit-hep/uproot3,Thu Mar 26 2020 00:00:00 GMT-0500 (Central Daylight Time),253
scikit-hep/uproot3,Wed Jul 08 2020 00:00:00 GMT-0500 (Central Daylight Time),274
scikit-hep/uproot3,Sun Nov 29 2020 00:00:00 GMT-0600 (Central Standard Time),295
scikit-hep/uproot3,Thu Oct 21 2021 00:00:00 GMT-0500 (Central Daylight Time),316
scikit-hep/uproot3,Fri Mar 04 2022 00:00:00 GMT-0600 (Central Standard Time),319
scikit-hep/awkward-0.x,Sat Jun 30 2018 00:00:00 GMT-0500 (Central Daylight Time),1
scikit-hep/awkward-0.x,Tue Oct 30 2018 00:00:00 GMT-0500 (Central Daylight Time),15
scikit-hep/awkward-0.x,Sun Mar 03 2019 00:00:00 GMT-0600 (Central Standard Time),29
scikit-hep/awkward-0.x,Thu May 30 2019 00:00:00 GMT-0500 (Central Daylight Time),43
scikit-hep/awkward-0.x,Wed Aug 28 2019 00:00:00 GMT-0500 (Central Daylight Time),57
scikit-hep/awkward-0.x,Fri Sep 20 2019 00:00:00 GMT-0500 (Central Daylight Time),71
scikit-hep/awkward-0.x,Wed Oct 23 2019 00:00:00 GMT-0500 (Central Daylight Time),85
scikit-hep/awkward-0.x,Mon Dec 02 2019 00:00:00 GMT-0600 (Central Standard Time),99
scikit-hep/awkward-0.x,Wed Dec 04 2019 00:00:00 GMT-0600 (Central Standard Time),113
scikit-hep/awkward-0.x,Fri Jan 10 2020 00:00:00 GMT-0600 (Central Standard Time),127
scikit-hep/awkward-0.x,Sun Mar 15 2020 00:00:00 GMT-0500 (Central Daylight Time),141
scikit-hep/awkward-0.x,Mon May 04 2020 00:00:00 GMT-0500 (Central Daylight Time),155
scikit-hep/awkward-0.x,Tue Jul 07 2020 00:00:00 GMT-0500 (Central Daylight Time),169
scikit-hep/awkward-0.x,Tue Jul 21 2020 00:00:00 GMT-0500 (Central Daylight Time),183
scikit-hep/awkward-0.x,Sun Oct 18 2020 00:00:00 GMT-0500 (Central Daylight Time),197
scikit-hep/awkward-0.x,Fri May 14 2021 00:00:00 GMT-0500 (Central Daylight Time),211
scikit-hep/awkward-0.x,Fri Mar 04 2022 00:00:00 GMT-0600 (Central Standard Time),218
